VendorID,RateCodeID,Passenger_count,Trip_distance,Fare_amount,MTA_tax,Tip_amount,Tolls_amount,improvement_surcharge,Total_amount,Payment_type,Trip_type 
2,1,1,1.34,6.5,0.5,0,0,0.3,7.3,2,1
2,1,5,2.6,13,0.5,0,0,0.3,13.8,2,1
2,1,1,0.94,8.5,0.5,2.32,0,0.3,11.62,1,1
2,1,1,1.27,6,0.5,0,0,0.3,6.8,2,1
2,1,1,1.6,8,0.5,0,0,0.3,8.8,2,1
2,1,1,1.04,6,0.5,1.36,0,0.3,8.16,1,1
2,1,5,1.41,6.5,0.5,0.73,0,0.3,8.03,1,1
2,1,1,0.92,6,0.5,0,0,0.3,6.8,2,1
2,1,1,0.91,7,0.5,1.56,0,0.3,9.36,1,1
2,1,1,2.78,15.5,0.5,3.26,0,0.3,19.56,1,1
2,1,1,5.55,21.5,0.5,3.5,0,0.3,25.8,1,1
2,1,1,6.86,23,0.5,0,0,0.3,23.8,2,1
2,1,2,1.37,6,0.5,0,0,0.3,6.8,2,1
2,5,1,5.85,17,0,0,0,0,17,1,2
2,1,1,0.29,3,0.5,0,0,0.3,3.8,2,1
2,1,1,2.1,11.5,0.5,0,0,0.3,12.3,1,1
2,1,1,3.69,15,0.5,0,0,0.3,15.8,2,1
2,1,1,6,19,0.5,3.96,0,0.3,23.76,1,1
2,1,1,4.54,19.5,0.5,4.06,0,0.3,24.36,1,1
2,1,1,2.47,16,0.5,3.36,0,0.3,20.16,1,1
2,1,1,0.84,4.5,0.5,1.06,0,0.3,6.36,1,1
2,1,1,1.52,7.5,0.5,0,0,0.3,8.3,2,1
2,1,1,1.1,8,0.5,0,0,0.3,8.8,2,1
2,1,2,5.86,19.5,0.5,6.46,5.54,0.3,32.3,1,1
2,1,1,1.26,7,0.5,0,0,0.3,7.8,2,1
2,1,1,0.39,4,0.5,0,0,0.3,4.8,2,1
2,1,1,2.16,15.5,0.5,3.26,0,0.3,19.56,1,1
2,1,1,2.17,10.5,0.5,0,0,0.3,11.3,2,1
2,1,5,3.17,11.5,0.5,0,0,0.3,12.3,2,1
2,1,3,1.81,8.5,0.5,0,0,0.3,9.3,2,1
2,1,3,0.89,5,0.5,0,0,0.3,5.8,2,1
2,1,2,0.91,6,0.5,0,0,0.3,6.8,2,1
2,1,1,0.62,4.5,0.5,0,0,0.3,5.3,1,1
2,1,1,3.86,15.5,0.5,0,0,0.3,16.3,1,1
2,1,1,0.92,7,0.5,1.56,0,0.3,9.36,1,1
2,1,3,3.16,13.5,0.5,2.86,0,0.3,17.16,1,1
2,1,2,5.03,21,0.5,5.47,5.54,0.3,32.81,1,1
2,1,1,0.74,4.5,0.5,0,0,0.3,5.3,2,1
